IT_Desk_Number,Desk_Location
LH4588,8-1614
LH4936,16-Aug
LH5021,20-Jul
LH4916,17-Aug
LH4805,Aug-56
LH4804 ,Aug-55
LH4800 ,02-Aug
LH4455,8-1347
LH4881,Aug-50
LH5050,Jul-49
LH4942,21-Aug
LH4892,Aug-38
LH7288,11-1301
LH7275,11-1207
LH4814,11-Aug
LH4879,Aug-48
LH5059,Jul-62
LH4600,8-1625
LH4690,7-1260
LH4950,25-Aug
LH4943,20-Aug
LH4587,8-1613
LH4949,24-Aug
LH4634,8-1600
LH4576,01-Aug
LH4657,7-1219
LH4500,8-1316
LH4875,Aug-56
LH4974,8-1674
LH4853,27-Aug
LH4968,Aug-65
LH4586,8-1612
LH4734,04-Aug
LH5048,Jul-47
LH4977,8-1677
LH4841,21-Aug
LH7286,11-1218
LH4743,11-Aug
LH4789 ,18-Aug
LH4593,8-1618
LH4813,10-Aug
LH5031,Jul-38
LH4862,Aug-66
LH5075,Jul-74
LH5012,07-Jul
LH7272,11-1204
LH4604,8-1629
LH7284,11-1216
LH4927,02-Aug
LH5084,Jul-89
LH4610,8-1638
LH5055,Jul-66
LH4724,7-1213
LH4482,8-1323
LH4981,8-1669
LH5005,Jul-00
LH4902,27-Aug
LH4512,8-1226
LH4564,8-1516
LH4459,8-1344
LH4900,Aug-35
LH4888,Aug-43
LH4700,7-1262
LH4472,8-1333B
LH4539,8-1236
LH7269,11-1201
LH5033,Jul-36
LH7279,11-1211
LH4481,8-1324
LH4987,8-1663
LH4573,8-1702
LH5043,Jul-42
LH7282,11-1214
LH4996,8-1657
LH4457,8-1346
LH5032,Jul-37
LH4842,20-Aug
LH4616,8-1632
LH7259,11-1401
LH7271,11-1203
LH4447,8-1354
LH4959,Aug-71
LH7273,11-1205
LH4485,8-1320
LH5081,Jul-92
LH4614,8-1634
LH4548,8-1300
LH4522,8-1222
LH4827,01-Aug
LH4912,12-Aug
LH4471,8-1333A
LH4820,17-Aug
LH4523,8-1215
LH4986,8-1664
LH5020,19-Jul
LH4876,Aug-55
LH4894,29-Aug
LH4961,Aug-69
LH4791,10-Aug
LH4443,8-1350
LH4483,8-1322
LH4597/LH4598,8-1623
LH5091,Jul-82
LH4530,8-1202
LH4995,8-1656
LH4904,25-Aug
LH4797,Aug-00
LH4822B,21-Aug
LH4545A,8-1304A
LH4467,8-1329
LH4505,8-1233
LH4811,08-Aug
LH4993,8-1654
LH7289,11-1302
LH5073,Jul-72
LH5002,14-Jul
LH4970/LH4971,8-1671
LH7280,11-1212
LH4928,03-Aug
LH4784,13-Aug
LH4946,17-Aug
LH4906,23-Aug
LH5010,05-Jul
LH4899,Aug-34
LH4812,09-Aug
LH4670,7-1256
LH4620,8-1645
LH4425,Aug-00
LH4428,11-Aug
LH4630,8-1604
LH4528,8-1210
LH5003,13-Jul
LH5037,Jul-32
LH4550,8-1103
LH5034,Jul-35
LH4581,8-1607
LH4829,03-Aug
LH4828,02-Aug
LH4826,Aug-00
LH4679,7-1257
LH4651,7-1302
LH4655,7-1221
LH4656,7-1220
LH4665,7-1223
LH4666,7-1224
LH4667,7-1225
LH4669,7-1227
LH4671,7-1249
LH4672,7-1242
LH4673,7-1235
LH4675,7-1229
LH4676,7-1236
LH4677,7-1243
LH4681,7-1251
LH4682,7-1244
LH4683,7-1237
LH4684,7-1230
LH4685,7-1231
LH4686,7-1238
LH4687,7-1245
LH4688,7-1252
LH4689,7-1259
LH4692,7-1246
LH4693,7-1239
LH4694,7-1232
LH4695,7-1233
LH4697,7-1247
LH4698,7-1254
LH4699,7-1261
LH4701,7-1255
LH4704,7-1234
